-0.30151	-0.30151	-0.30151	-0.30151	-0.30151	-0.30151	-0.30151	-0.30151	-0.30151	-0.30151	-0.30151
0.23053	0.38787	0.42206	0.32225	0.12013	-0.12013	-0.32225	-0.42206	-0.38787	-0.23053	0
0.35871	0.17713	-0.060683	-0.27923	-0.40913	-0.40913	-0.27923	-0.060683	0.17713	0.35871	0.4264
0.38787	0.32225	-0.12013	-0.42206	-0.23053	0.23053	0.42206	0.12013	-0.32225	-0.38787	0
-0.17713	0.27923	0.40913	0.060683	-0.35871	-0.35871	0.060683	0.40913	0.27923	-0.17713	-0.4264
0.42206	-0.12013	-0.38787	0.23053	0.32225	-0.32225	-0.23053	0.38787	0.12013	-0.42206	0
0.060683	0.40913	-0.17713	-0.35871	0.27923	0.27923	-0.35871	-0.17713	0.40913	0.060683	-0.4264
-0.27923	-0.060683	0.35871	-0.40913	0.17713	0.17713	-0.40913	0.35871	-0.060683	-0.27923	0.4264
0.32225	-0.42206	0.23053	0.12013	-0.38787	0.38787	-0.12013	-0.23053	0.42206	-0.32225	0
-0.12013	0.23053	-0.32225	0.38787	-0.42206	0.42206	-0.38787	0.32225	-0.23053	0.12013	0
-0.40913	0.35871	-0.27923	0.17713	-0.060683	-0.060683	0.17713	-0.27923	0.35871	-0.40913	0.4264
