0.95444	0.28371	0.71309	0.49489	0.71323
0.60701	0.061655	0.77902	0.27013	0.16661
0.13684	0.057046	0.23858	0.61427	0.6345
0.47246	0.11406	0.57558	0.6818	0.83991
0.40706	0.39703	0.015421	0.65066	0.84974
0.26929	0.4581	0.50975	0.24826	0.5889
0.99598	0.55556	0.8347	0.0855	0.15904
0.70133	0.31913	0.2157	0.85015	0.076312
0.379	0.95427	0.87906	0.30574	0.87979
0.53757	0.82232	0.73657	0.24937	0.80981
0.95288	0.84484	0.77206	0.71413	0.62825
0.77915	0.15316	0.23216	0.9488	0.081617
0.97351	0.53184	0.85055	0.80716	0.04084
0.66393	0.51503	0.25064	0.12495	0.051292
0.38774	0.10698	0.80299	0.13381	0.92832
0.8467	0.37672	0.44751	0.91936	0.88067
0.75381	0.67012	0.46619	0.41268	0.56559
0.56204	0.55543	0.62264	0.87985	0.88741
0.18845	0.93197	0.57794	0.86793	0.80425
0.90242	0.040198	0.82615	0.86195	0.20514
0.24126	0.72049	0.80796	0.083838	0.38678
0.61277	0.77569	0.77592	0.88126	0.1081
0.91358	0.83575	0.47901	0.96716	0.49688
0.36312	0.81348	0.20284	0.47792	0.92286
0.27181	0.0062939	0.22921	0.11676	0.23421
0.25261	0.3411	0.56502	0.37742	0.18657
0.76879	0.069925	0.15096	0.18904	0.67589
0.56364	0.20895	0.82266	0.80692	0.97435
0.64177	0.7828	0.26916	0.5754	0.79299
0.59451	0.15887	0.86023	0.21179	0.41018
0.43982	0.33218	0.10912	0.7742	0.10075
0.59514	0.86778	0.81173	0.19392	0.053132
0.83896	0.65271	0.27736	0.51936	0.36331
0.76026	0.99811	0.36911	0.96751	0.90395
0.12215	0.50178	0.62041	0.33336	0.53012
0.93512	0.1917	0.88921	0.69744	0.40769
0.99352	0.084538	0.92896	0.76698	0.62197
0.47326	0.41555	0.29258	0.15638	0.27343
0.0073246	0.69844	0.065816	0.43937	0.64037
0.7098	0.23022	0.93654	0.78387	0.25529
